Iterations,Value,Shrinkage,Epsilon_1_next,Epsilon_2_next,Epsilon_1_bound,Epsilon_2_bound
0,73429.72488824227,0,0.04490967909968567,0.18399674390324616,0.6261326472595294,1.2315257617829332
1,74303.71969477444,1,0.013900101388202628,0.04097147324110804,-5.3948165379402724e-14,0.009999999999971134
2,75290.66384293244,1,0.00687914241349025,0.02466561936382874,-8.881784197001252e-16,0.010000000000001563
3,75589.5089136679,1,0.008509931907045937,0.037405243074787986,-7.304400140295542e-14,0.00999999999993694
4,75730.15308416985,1,0.0006102345643446897,0.010000000000000231,-1.62005825421474e-14,0.009999999999987352
5,75783.48081163174,1,0.001215311427400198,0.009999999999991793,-3.552713678800501e-15,0.009999999999990017
6,75783.48081163173,0,0.0035699575035866068,0.009999999999996961,0.03383417279818147,0.04383417279818147
7,75783.48081163174,0,0.004729057018199663,0.012826960110643413,0.004955582005880643,0.03211316477881798
8,75921.01766688387,1,0.0017315974145228601,0.01,-5.542441505745899e-15,0.009999999999993125
9,75921.01766688388,0,0.0084807222631817,0.012111281458641562,0.11147251654396563,0.015564864647103605
10,75978.24846798877,1,0.0036083064307828,0.00999999999999801,2.220446049250313e-16,0.009999999999987352
11,75978.24846798876,0,0.006300133920261505,0.01155002828791063,0.056473149906254745,0.011725899102184911
12,76034.6389335189,1,0.0013843458825287382,0.01,-1.2212453270876722e-14,0.009999999999974474
13,76034.63893351892,0,0.004284887648628431,0.010731390947346266,0.03020462004263825,0.02655543020025153
14,76089.43693666298,1,0.001909471074093908,0.00999999999999135,-1.9897278269453977e-15,0.009999999999990905
15,76089.43693666297,0,0.002079966917814745,0.010782305771472047,0.0655063795003963,0.07550637950039629
16,76089.436936663,0,0.008065024849571277,0.020133094457856188,0.04505141859842988,0.05505141859842988
17,76089.43693666298,0,0.011004753286741232,0.03315127481539483,0.029302448997219344,0.039302448997219346
18,76150.78428956312,1,0.008682349369665963,0.019657637634389512,-6.574601973952099e-16,0.010000000000000333
19,76377.2802218931,1,0.007286437359366179,0.01,-4.440892098500626e-16,0.009999999999987352
20,76437.16007149841,1,0.0041465704827310275,0.009999999999991127,4.440892098500626e-16,0.009999999999990683
21,76437.1600714984,0,0.003543748638966465,0.010000000000000222,0.010522837310472663,0.018576268181022204
22,76506.90305312657,1,0.0032594004744032935,0.009999999999990905,0.0,0.009999999999990683
23,76506.90305312659,0,0.00556557608160217,0.009999999999999556,0.008479896809715726,0.01050252512101224
24,76506.90305312659,0,0.00956013091730376,0.016601514389458453,0.02988559852514716,0.03988559852514716
25,76664.47333123093,1,0.0019011647630866957,0.010000000000000566,-4.354155924701786e-16,0.009999999999999565
26,76664.47333123091,0,0.00820206616757789,0.01987720814450733,0.08587814891002112,0.036568312655602
27,76664.47333123091,0,0.01645413643492054,0.03208227068053902,0.01633357931741642,0.026333579317416422
28,76728.79738658572,1,0.009707496630579215,0.01920811292374591,-1.3322676295501878e-15,0.009999999999994458
29,76785.51467841466,1,0.003617198599807128,0.01,-1.9897278269453977e-15,0.00999999999999801
30,76842.233433586,1,0.0017857384336512994,0.009999999999990905,-2.1337098754514727e-16,0.009999999999990461
31,76842.233433586,0,0.0026771878305463835,0.01,0.014392775989027004,0.02156178072266135
32,76842.233433586,0,0.009397848042476504,0.01571379682705255,0.09667987311980732,0.10667987311980731
33,76898.66535466255,1,0.0017035070430577236,0.00999999999999957,-6.574601973952099e-16,0.009999999999990461
34,76898.66535466255,0,0.006541335898691638,0.011842658389337018,0.06385966676293876,0.07385966676293876
35,76898.66535466256,0,0.010400417947631592,0.026099090512745435,0.06881461826978598,0.07881461826978597
36,76898.66535466256,0,0.0185131136486055,0.04357103312877583,0.1127331686545754,0.1589281885691598
37,76951.95638575272,1,0.012203802074632623,0.025097849626451365,-4.440892098500626e-16,0.009999999999996447
38,76951.95638575272,0,0.020376548739020936,0.04677793301893142,0.167238824305187,0.177238824305187
39,77213.2289000688,1,0.014684762453778788,0.024257756525386753,-1.9897278269453977e-15,0.00999999999999801
40,77213.22890006879,0,0.017487882364277476,0.04459109919456305,0.06838222307728771,0.08022960647293687
41,77213.2289000688,0,0.028404919484086685,0.06553322050466548,0.01986924981456229,0.05457183083412964
42,77213.2289000688,0,0.04727380750725508,0.12730773609491977,0.06935993599780389,0.10226432857686184
43,77281.34011333234,1,0.04925762010334378,0.1410567590781425,8.668413209456105e-15,0.08696032906902929
44,77336.46046496114,1,0.01656409328100003,0.042471166260491,-1.6298074001497298e-13,0.00999999999983702
45,77395.59379170799,1,0.0073370143579625765,0.022570279994391804,8.673617379884035e-18,0.01
46,77395.59379170797,0,0.016653334245627732,0.042788874554264056,0.07555793782956455,0.08555793782956454
47,77395.59379170797,0,0.022191271999812325,0.062071719835922294,0.09670441507455307,0.10670441507455307
48,77454.18804241554,1,0.013770569016607202,0.0407830292290156,0.0,0.015386660718739842
49,77454.18804241555,0,0.02053020518245535,0.06232279737118361,0.01878127297845667,0.045060962603960864
50,77454.18804241554,0,0.03637054568056863,0.09707818560954051,0.038222196638149526,0.09227242039564042
