Iterations,Value,Shrinkage,Epsilon_1_next,Epsilon_2_next,Epsilon_1_bound,Epsilon_2_bound
0,39612.772744089845,0,0.08755543551135457,0.23886243492253267,0.9761446873708906,0.9861446873708906
1,39671.213208749425,1,0.07349159501831169,0.22175911881432342,-6.79369754896797e-14,0.009999999999884324
2,39728.75538104791,1,0.06739140141977634,0.1430010218077043,-9.0951551845464e-15,0.009999999999990905
3,39745.67792081408,1,0.053146524393279486,0.12834157905838495,-5.172771933015241e-14,0.009999999999934062
4,39767.603845637495,1,0.034459570999346725,0.10163305338595346,-3.2187794096749656e-14,0.010000000000005116
5,39777.87776433311,1,0.021448372088315612,0.046056962767142794,-1.7763568394002505e-15,0.009999999999992237
6,39791.89314319113,1,0.02743801971949666,0.05899977361728908,-5.542441505745899e-15,0.009999999999991127
7,39805.54330554251,1,0.01663089322057332,0.03550507447500153,-3.1086244689504383e-15,0.009999999999998224
8,39816.56839310014,1,0.013211369913600739,0.029517775063781518,-1.1015494072452725e-15,0.009999999999998899
9,39837.37340910795,1,0.010087143254207922,0.018423697502168573,-1.5543122344752192e-15,0.009999999999998446
10,39846.05863555457,1,0.01016235557501419,0.014621401689347932,-2.877906246645523e-15,0.009999999999990239
11,39852.35579376672,1,0.0026448421317060524,0.012881497280895287,-1.0125233984581428e-13,0.009999999999898748
12,39858.837736518224,1,0.00213003923065724,0.0100000000000005,-8.881784197001252e-16,0.009999999999990683
13,39858.83773651824,0,0.004035518756896169,0.01248431391250876,0.03726050037782974,0.07886469748517183
14,39858.83773651825,0,0.007903412841696093,0.01824869797374082,0.11208557474250273,0.12208557474250273
15,39862.012856951915,1,0.0035907290014352703,0.017684576277235287,-8.881784197001252e-16,0.00999999999999087
16,39872.053140200005,1,0.004234154203502572,0.01287231507365899,-8.881784197001252e-16,0.009999999999999778
17,39872.1075152416,0,0.005872029102021025,0.02036248137176136,0.04008151880059752,0.050081518800597524
18,39872.79194256115,0,0.01138772548256378,0.03314599326081989,0.1430713509955691,0.15307135099556912
19,39882.11988375972,1,0.019048526159075027,0.03188638780068201,-1.9897278269453977e-15,0.00999999999999801
20,39883.302528675806,1,0.013620802595048411,0.024338170231677426,0.0,0.01
21,39883.30252867582,0,0.019477561335824716,0.042369142115279264,0.05869499441385085,0.06869499441385085
22,39884.34851129919,1,0.017589226506714965,0.032755820119067,4.527628272299467e-16,0.010000000000000453
23,39884.34851129919,0,0.02126207871059831,0.043185852352875614,0.060015856290769776,0.4600182086516258
24,39884.34851129915,0,0.02466855641339488,0.0634494902393749,0.07691646204301807,0.13413715683195226
25,39889.24182658989,1,0.03211185165572448,0.06752714556999567,-1.9984014443252818e-15,0.009999999999998002
26,39891.95680914319,1,0.019788034320043314,0.04534344058548223,-7.684824998577255e-16,0.009999999999992237
27,39895.04776030878,1,0.02605809321240105,0.0382349336375008,-1.7763568394002505e-15,0.009999999999998224
28,39899.43818037756,1,0.0166607902713366,0.024625036812843542,-2.877906246645523e-15,0.009999999999990905
29,39903.4356831107,1,0.011666669746653742,0.013820195342509322,-3.766084666345648e-15,0.009999999999992681
30,39903.46039874155,0,0.016558785341730626,0.02347258427704938,0.04065066053704736,0.04376050887712445
31,39913.15264739102,1,0.01176532766352478,0.025676323417312165,-1.9897278269453977e-15,0.009999999999989129
32,39914.18322290316,1,0.005124137117994712,0.013556026298277618,-8.881784197001252e-15,0.009999999999991118
33,39914.778936601084,0,0.0061295904153867995,0.01906881464751608,0.028913818641898577,0.0605234663785863
34,39915.3998987432,0,0.01312825752473039,0.03271647006647137,0.04280254639776493,0.061736803180320265
35,39915.399898743184,0,0.01724804451698729,0.04505840654810332,0.023948665316165137,0.042048483486043065
36,39915.399898743184,0,0.022422945668727563,0.059511874457382145,0.04073698971241125,0.05796019030367838
37,39915.39989874317,0,0.026096293838067726,0.07526587887563542,0.027622576796647598,0.07121364205719205
38,39915.78258116855,0,0.042879336023568165,0.10791800162621903,0.05662925865278723,0.20658968679806522
39,39967.40640436247,1,0.030352274131833494,0.08313989479347807,-4.796163466380676e-14,0.01582486204489386
40,39978.62649800808,1,0.03474697336038733,0.07972497349384156,-2.1337098754514727e-16,0.009999999999999787
41,39980.29226671922,1,0.02773688198603107,0.06175085591208935,3.3393426912553537e-15,0.047175121371051176
42,39981.562060358294,1,0.02025664028716468,0.06491847874280891,-3.730349362740526e-14,0.009999999999979128
43,39981.56206035835,0,0.027773233341058322,0.0719490948160151,0.03970781240832211,0.09283338900793979
44,39981.562060358396,0,0.035105367777320214,0.09259669023637515,0.02765233970475845,0.07194439732747737
45,39981.72511713141,0,0.047388776212610006,0.11557071899164965,0.06843359009564032,0.11142081626345245
46,39982.2770643596,0,0.05871130722291573,0.1451468795672973,0.09239011944371223,0.17136973239198938
47,39982.277064359674,0,0.07190161725415348,0.17891487022448815,0.05870800107844332,0.14507395204821294
48,39982.2770643597,0,0.09631898478025401,0.22008943793072916,0.07174733856117911,0.1788954712477031
49,39997.26623541439,1,0.07020989074191158,0.16966167171623825,0.02493852884416048,0.12093497538728659
50,39997.26623540922,0,0.08661226323575584,0.2053072434488309,0.0699933313915775,0.16952937707857307
