Iterations,Value,Shrinkage,Epsilon_1_next,Epsilon_2_next,Epsilon_1_bound,Epsilon_2_bound
0,39612.772744089845,0,0.11083127998592243,0.3366484548695761,0.9761446873708906,0.9861446873708906
1,39641.83582915664,1,0.05907780651093432,0.1931588539658105,-2.6645352591003757e-14,0.010000000000021547
2,39743.599745861145,1,0.046086978921122984,0.11688635958736594,-4.4928505360530835e-12,0.009999999999991793
3,39752.563480919576,1,0.008202296986618207,0.02733162084547102,-4.440892098500626e-16,0.009999999999990905
4,39759.403552177115,1,0.006204717705413566,0.012868897412692815,-6.574601973952099e-16,0.00999999999998824
5,39774.29382244473,1,0.0009566041044633453,0.01,-1.1315601233796713e-14,0.009999999999980247
6,39778.31434701939,1,1.357858908611341e-15,0.009999999999997537,-2.877906246645523e-15,0.009999999999990683
