Iterations,Value,Shrinkage,Epsilon_1_next,Epsilon_2_next,Epsilon_1_bound,Epsilon_2_bound
0,80779.79866957644,0,0.04292535357808013,0.30873522071617265,0.7513198206158838,5.012873949062911
1,83048.16390810077,1,0.03289779075419288,0.24242252242269888,-7.105427357601002e-14,0.009999999999928946
2,84563.97994647158,1,0.034491593211102616,0.2187995354341889,-2.4868995751603507e-14,0.009999999998709033
3,86740.51074451706,1,0.02874918934763209,0.19369121153780305,-3.6950211987352155e-11,0.009999999963049788
4,88596.3883344158,1,0.007591979152434973,0.07811655874172926,-5.551115123125783e-14,0.00999019890748797
5,90054.25516739939,1,0.004878934190633382,0.03929393101106959,-3.6550623638831325e-15,0.009999999999990794
6,91077.91143917975,1,0.0037643372624556254,0.03840621369620098,-1.7976939381547652e-14,0.00999999999999989
7,92299.57323824581,1,0.002455430707298649,0.028109308283392996,-2.220446049250313e-16,0.009999999999990905
8,92653.78332416274,1,0.0015421751130752705,0.024756811916150936,-9.547918011776346e-15,0.009999999999990905
9,92898.41330603197,1,0.0022301684348268874,0.018997788448480636,-8.881784197001252e-15,0.009999999999999778
10,93152.4955209027,1,0.0013090121507718594,0.016076045410076,-9.103828801926284e-15,0.009999999999990896
11,93352.43909355577,1,0.000542676455151385,0.014309607866066052,-8.881784197001252e-16,0.009999999999999778
12,93621.41896596021,1,9.105820802744644e-15,0.01227389395741204,-1.3655743202889425e-14,0.009999999999986344
13,93621.41896596017,0,0.0006210232785436736,0.01658845107285017,0.009412285143966201,0.0194122851439662
14,93621.41896596015,0,0.0014901731512015643,0.021582889190537746,0.011769103804042613,0.03534375390918165
15,93621.4189659602,0,0.001967884273104756,0.030199405246403032,0.021254726458104896,0.04096213274209237
16,93621.41896596015,0,0.0037100803100111397,0.0376310120855927,0.033450416717066174,0.04463614184117514
17,93621.41896596018,0,0.006805910013330747,0.04205654774580741,0.03649082151118532,0.052332471099914527
18,93898.21968714714,1,0.008430197988416103,0.08248424731774362,-5.5067062021407764e-14,0.01000000000003709
19,93898.21968714721,0,0.010485158375665457,0.060836883087698294,0.11607226146531113,0.12607226146531114
20,94105.2829950527,1,0.009030805232621815,0.05725448751122845,-1.1015494072452725e-15,0.01
21,94105.2829950527,0,0.014588141407877002,0.0709736547605399,0.10319794990754572,0.11319794990754571
22,95101.75887622082,1,0.02640217412710482,0.13024730994286604,-2.169289053943757e-13,0.00999999999999801
23,95320.22313443408,1,0.016633356320754064,0.10333378374576818,-2.1316282072803006e-14,0.009999999999990808
24,95339.74084713164,1,0.014404685165207697,0.10239306687058218,-1.9539925233402755e-14,0.009999999999987352
25,95456.65294803622,1,0.008295752650032412,0.08341679820056205,-6.039613253960852e-14,0.009999999999939604
26,95639.54865673606,1,0.011750056456993374,0.0742291409793259,-1.4210854715202004e-14,0.009999999999990905
27,95699.11588839174,1,0.0016608151926620085,0.024761121887774136,-9.0951551845464e-15,0.009999999999990683
28,95699.11588839178,0,0.003175605530397871,0.03282528365912318,0.01160887798929311,0.03517175977289053
29,95782.28367980813,1,0.003363433809367762,0.03012875763562261,-9.539244394396462e-15,0.009999999999999787
30,95782.28367980813,0,0.006156373404307836,0.0426697954547795,0.04143949240325751,0.10244918446987959
31,95856.67576422782,1,0.003647570631682359,0.03726575264540196,-2.5757174171303632e-14,0.009999999999982237
32,95856.6757642278,0,0.006841759599600648,0.04474259087723522,0.06586823705330391,0.12284541906271661
33,95914.6874134413,1,0.0035025632663719954,0.04022110686764443,-9.0951551845464e-15,0.009999999999999343
34,95914.68741344125,0,0.007433124916295035,0.05042601342234339,0.09350958710991077,0.10350958710991076
35,96915.5280461927,1,0.005090022384108238,0.03824007759857712,-4.1300296516055823e-14,0.009999999999999556
36,97263.80864056249,1,0.004128775942832117,0.03484028775202948,-1.7319479184152442e-14,0.01
37,97263.8086405625,0,0.004618394211200187,0.0402465359549261,0.017135762062132416,0.056396752133698706
38,97323.29264913166,1,0.005484041966405003,0.03732694178225016,-2.1337098754514727e-16,0.009999999999999787
39,97508.9147576753,1,0.005049642442115279,0.03319063145415964,-8.881784197001252e-15,0.015578581367616686
40,97563.5875870575,1,0.0014153334160019102,0.029468380452529804,-4.440892098500626e-16,0.009999999999999787
41,97563.5875870575,0,0.0036318189901065096,0.032678235552654804,0.011118569792924313,0.08907759599659837
42,97563.5875870575,0,0.004586046357086487,0.0415466071518626,0.02012851792070345,0.05061108282634679
43,97563.58758705751,0,0.007683071187437949,0.052076491001451855,0.020852767885595876,0.06457650204478904
44,97643.38979638158,1,0.016916299311335137,0.09970282132187858,-3.552713678800501e-15,0.010000000000010658
45,97647.1651701342,1,0.013397619554312444,0.10123534560342852,-1.62005825421474e-14,0.0099999999999838
46,97647.16517013418,0,0.019002930968865107,0.11988595400547143,0.01308085587447417,0.1008336761628915
47,97647.16517013422,0,0.025608507898406685,0.14435894961135032,0.0189936847532537,0.11988570339433213
48,97647.1651701342,0,0.034844461992480584,0.1803584483276056,0.025062501438927853,0.14435894961135032
49,97647.16517013418,0,0.04619187261737238,0.2192729994403546,0.034843906088923404,0.1803584483276056
50,97647.16517013416,0,0.056933828472594296,0.28838311352921253,0.046189119912440686,0.2192729994403546
