Iterations,Value,Shrinkage,Epsilon_1_next,Epsilon_2_next,Epsilon_1_bound,Epsilon_2_bound
0,39575.35301222833,0,0.030667100269796972,0.10433903861136144,0.15869926207577967,0.2467856180557273
1,39594.43427278315,1,0.03524541140873878,0.07220890796080436,-3.766084666345648e-15,0.009999999999999112
2,39616.71011485078,1,0.010991224391473098,0.027982696252429596,-9.206177487008915e-15,0.009999999999989573
3,39644.8126467175,1,0.0028769905490039723,0.011583009326433363,-1.1015494072452725e-15,0.009999999999998899
4,39654.79880356393,1,0.0015725102529114637,0.009999999999999556,-4.440892098500626e-16,0.009999999999990794
5,39655.12865040636,0,0.003150238921715457,0.010739522663665813,0.02347448543253384,0.030297718364710513
6,39663.31838600144,1,0.0022676242499811822,0.009999999999999445,-5.551115123125783e-16,0.009999999999990822
7,39666.202830015536,1,3.4437724996116796e-15,0.009999999999990905,-2.6645352591003757e-15,0.009999999999989129
