Iterations,Value,Shrinkage,Epsilon_1_next,Epsilon_2_next,Epsilon_1_bound,Epsilon_2_bound
0,39534.51460864364,0,0.03532845711431223,0.10661648648365385,0.22162385849408017,0.27074870638274895
1,39615.584583251446,1,0.05117369531887968,0.08856943521697326,-7.105427357601002e-15,0.009999999999999556
2,39687.896600579814,1,0.01623416162403692,0.036329761724752524,-1.5456386170953351e-15,0.009999999999998899
3,39729.335325163585,1,0.012586259046661604,0.011913925953074639,-2.6645352591003757e-15,0.009999999999997336
4,39733.65776678355,1,0.004943812820633179,0.01,-8.881784197001252e-16,0.009999999999991127
5,39735.805306488066,1,7.387837719363684e-15,0.00999999999999484,-9.0951551845464e-15,0.009999999999982911
